symbol,brandLoyalty,barriersToEntry,switchingCost,networkEffect,economiesOfScale
MMM,8.5,7.5,7.0,2.0,8.5
AOS,7.5,6.5,5.5,1.0,7.5
ABT,8.5,8.5,7.5,3.0,8.5
ABBV,9.0,9.0,7.5,1.0,8.5
ACN,8.5,6.5,8.5,5.0,8.5
ADBE,9.5,8.5,9.5,8.5,9.0
AMD,8.0,9.5,7.5,6.0,8.5
AES,4.0,8.5,7.0,2.0,8.0
AFL,8.5,7.0,6.5,2.0,7.5
A,8.0,8.0,8.0,2.0,7.5
APD,6.5,9.0,8.5,2.0,9.0
ABNB,9.0,7.5,6.5,9.5,8.5
AKAM,7.5,8.0,8.0,7.5,8.5
ALB,5.0,8.5,6.5,1.0,8.5
ARE,7.5,8.5,8.0,5.0,7.5
ALGN,8.5,8.0,7.5,5.0,7.5
ALLE,8.0,7.0,7.5,2.0,7.5
LNT,4.0,9.5,8.5,2.0,8.5
ALL,8.0,6.5,6.5,2.0,8.0
GOOGL,9.5,9.5,8.5,9.5,9.5
GOOG,9.5,9.5,8.5,9.5,9.5
MO,9.5,8.5,8.5,1.0,8.5
AMZN,9.5,9.0,8.5,9.5,10.0
AMCR,6.0,7.0,7.0,1.0,8.5
AEE,4.0,9.5,8.5,2.0,8.5
AEP,4.0,9.5,8.5,2.0,8.5
AXP,9.5,8.5,8.0,9.0,8.5
AIG,7.5,7.0,6.5,2.0,8.0
AMT,6.0,9.5,9.0,5.0,9.0
AWK,5.0,9.5,9.0,2.0,8.5
AMP,7.5,7.0,7.5,3.0,7.5
AME,7.5,7.5,8.0,2.0,7.5
AMGN,8.5,9.0,7.5,1.0,8.5
APH,7.5,7.5,8.0,2.0,8.0
ADI,8.5,8.5,8.5,3.0,8.5
AON,8.5,7.5,8.5,5.0,8.5
APA,4.0,7.5,4.0,1.0,7.5
APO,8.5,8.0,8.5,5.0,8.5
AAPL,10.0,9.0,9.5,9.0,9.5
AMAT,8.5,9.5,8.5,4.0,8.5
APP,6.5,6.5,7.0,7.5,7.5
APTV,7.5,7.5,8.0,3.0,8.0
ACGL,7.0,7.0,6.5,2.0,7.5
ADM,6.5,8.5,7.0,4.0,9.0
ARES,8.0,8.0,8.5,5.0,8.0
ANET,8.0,8.0,8.5,6.0,8.0
AJG,8.0,7.0,8.5,4.0,8.0
AIZ,7.0,7.0,7.5,3.0,7.5
T,8.0,9.5,7.5,6.0,9.0
ATO,5.0,9.5,8.5,2.0,8.5
ADSK,8.0,7.5,9.5,8.0,8.0
ADP,8.5,7.0,9.0,6.0,8.5
AZO,8.0,6.5,4.0,3.0,8.5
AVB,6.0,8.0,6.0,2.0,7.5
AVY,6.5,7.0,7.5,2.0,8.0
AXON,8.5,8.5,9.0,8.5,7.5
BKR,7.5,8.5,7.0,3.0,8.0
BALL,6.0,8.0,6.5,2.0,8.5
BAC,8.0,9.0,8.0,7.0,9.0
